eps_surprise,eps_surprise_pct,beat_miss,ticker,earnings_date
0.17,6.37,1,AAPL,2026-01-29
0.08,4.52,1,AAPL,2025-10-31
0.14,9.79,1,AAPL,2025-08-01
0.03,1.85,1,AAPL,2025-05-01
0.06,2.56,1,AAPL,2025-01-30
0.02,2.11,1,AAPL,2024-11-01
0.06,4.48,1,AAPL,2024-08-01
0.03,2.0,1,AAPL,2024-05-02
0.22,5.61,1,MSFT,2026-01-29
0.47,12.84,1,MSFT,2025-10-30
0.27,7.99,1,MSFT,2025-07-30
0.24,7.45,1,MSFT,2025-04-30
0.11,3.53,1,MSFT,2025-01-29
0.19,6.11,1,MSFT,2024-10-30
0.01,0.34,1,MSFT,2024-07-30
0.1,3.52,1,MSFT,2024-04-25
0.18,6.82,1,GOOGL,2026-02-04
0.61,26.99,1,GOOGL,2025-10-29
0.0,0.0,0,GOOGL,2025-07-29
0.8,39.8,1,GOOGL,2025-04-29
0.02,0.94,1,GOOGL,2025-02-04
0.27,14.59,1,GOOGL,2024-10-29
0.04,2.16,1,GOOGL,2024-07-23
0.38,25.17,1,GOOGL,2024-04-25
-0.01,-0.51,-1,AMZN,2026-02-05
0.39,25.0,1,AMZN,2025-10-31
0.35,26.32,1,AMZN,2025-08-01
0.23,16.91,1,AMZN,2025-05-01
0.38,25.68,1,AMZN,2025-02-06
0.29,25.44,1,AMZN,2024-10-31
0.23,22.33,1,AMZN,2024-08-01
0.15,18.07,1,AMZN,2024-05-02
0.66,8.03,1,META,2026-01-29
-5.66,-84.35,-1,META,2025-10-29
1.24,21.02,1,META,2025-07-30
1.21,23.18,1,META,2025-04-30
1.26,18.64,1,META,2025-01-29
0.74,13.99,1,META,2024-10-30
0.4,8.4,1,META,2024-07-31
0.39,9.03,1,META,2024-04-24
0.08,5.19,1,NVDA,2026-02-25
0.04,3.17,1,NVDA,2025-11-19
0.04,3.96,1,NVDA,2025-08-27
0.06,8.0,1,NVDA,2025-05-28
0.04,4.71,1,NVDA,2025-02-26
0.06,8.0,1,NVDA,2024-11-20
0.04,6.25,1,NVDA,2024-08-28
0.05,8.93,1,NVDA,2024-05-22
0.21,15.91,1,AMD,2026-02-03
0.0,0.0,0,AMD,2025-10-28
0.0,0.0,0,AMD,2025-07-29
0.0,0.0,0,AMD,2025-04-29
0.0,0.0,0,AMD,2025-01-28
0.0,0.0,0,AMD,2024-10-29
0.01,1.47,1,AMD,2024-07-30
0.01,1.64,1,AMD,2024-04-30
0.07,87.5,1,INTC,2026-01-23
0.22,2200.0,1,INTC,2025-10-24
-0.11,-1100.0,-1,INTC,2025-07-24
0.0,0.0,0,INTC,2025-04-24
0.0,0.0,0,INTC,2025-01-23
0.0,0.0,0,INTC,2024-10-24
0.0,0.0,0,INTC,2024-07-25
0.04,28.57,1,INTC,2024-04-25
0.1,5.92,1,ORCL,2026-03-10
0.62,37.8,1,ORCL,2025-12-09
-0.01,-0.68,-1,ORCL,2025-09-09
0.06,3.66,1,ORCL,2025-06-10
-0.02,-1.34,-1,ORCL,2025-03-11
-0.01,-0.68,-1,ORCL,2024-12-10
0.06,4.51,1,ORCL,2024-09-10
-0.02,-1.21,-1,ORCL,2024-06-11
0.0,0.0,0,CRM,2026-03-05
0.39,13.64,1,CRM,2025-12-03
0.0,0.0,0,CRM,2025-08-27
0.03,1.18,1,CRM,2025-05-28
0.17,6.51,1,CRM,2025-02-26
-0.04,-1.63,-1,CRM,2024-12-03
0.2,8.47,1,CRM,2024-08-28
0.07,2.95,1,CRM,2024-05-29
0.43,7.8,1,JPM,2026-04-11
-0.19,-3.94,-1,JPM,2026-01-13
0.2,4.11,1,JPM,2025-10-11
0.49,10.96,1,JPM,2025-07-11
0.43,9.27,1,JPM,2025-04-11
0.77,19.06,1,JPM,2025-01-15
0.38,9.52,1,JPM,2024-10-11
1.59,35.1,1,JPM,2024-07-12
0.09,8.82,1,BAC,2026-04-15
0.02,2.08,1,BAC,2026-01-15
0.11,11.58,1,BAC,2025-10-15
0.03,3.49,1,BAC,2025-07-15
0.08,9.76,1,BAC,2025-04-15
0.05,6.49,1,BAC,2025-01-15
0.05,6.58,1,BAC,2024-10-15
0.03,3.75,1,BAC,2024-07-16
1.16,7.08,1,GS,2026-04-14
2.36,20.26,1,GS,2026-01-15
1.16,10.46,1,GS,2025-10-14
1.25,12.94,1,GS,2025-07-14
1.86,15.17,1,GS,2025-04-14
3.6,43.11,1,GS,2025-01-15
1.48,21.39,1,GS,2024-10-15
0.2,2.38,1,GS,2024-07-15
0.03,0.96,1,V,2026-01-28
0.01,0.34,1,V,2025-10-29
0.0,0.0,0,V,2025-07-23
0.08,2.99,1,V,2025-04-29
0.09,3.38,1,V,2025-01-28
0.13,5.04,1,V,2024-10-29
0.0,0.0,0,V,2024-07-23
0.08,3.29,1,V,2024-04-23
0.52,12.26,1,MA,2026-01-29
0.07,1.62,1,MA,2025-10-31
0.13,3.23,1,MA,2025-07-31
0.17,4.78,1,MA,2025-04-29
0.13,3.52,1,MA,2025-01-30
0.14,3.73,1,MA,2024-10-31
0.08,2.28,1,MA,2024-07-31
0.07,2.16,1,MA,2024-05-01
-0.1,-29.41,-1,TSLA,2026-01-28
-0.05,-11.36,-1,TSLA,2025-10-23
0.0,0.0,0,TSLA,2025-07-23
-0.14,-34.15,-1,TSLA,2025-04-22
-0.04,-5.19,-1,TSLA,2025-01-29
0.12,20.0,1,TSLA,2024-10-23
-0.1,-16.13,-1,TSLA,2024-07-23
-0.04,-8.16,-1,TSLA,2024-04-23
-0.02,-1.6,-1,NFLX,2026-04-15
0.01,1.82,1,NFLX,2026-01-20
0.0,0.0,0,NFLX,2025-10-15
0.02,2.86,1,NFLX,2025-07-17
0.09,15.79,1,NFLX,2025-04-17
0.01,2.38,1,NFLX,2025-01-21
0.03,5.88,1,NFLX,2024-10-16
0.02,4.26,1,NFLX,2024-07-17
0.05,3.16,1,DIS,2026-02-05
0.09,8.82,1,DIS,2025-11-13
0.16,11.03,1,DIS,2025-08-06
0.24,19.83,1,DIS,2025-05-07
0.33,23.08,1,DIS,2025-02-05
0.03,2.7,1,DIS,2024-11-14
0.2,16.81,1,DIS,2024-08-07
0.11,10.0,1,DIS,2024-05-07
-0.31,-54.39,-1,SBUX,2026-01-28
-0.4,-76.92,-1,SBUX,2025-10-29
-0.16,-24.62,-1,SBUX,2025-07-29
-0.07,-14.58,-1,SBUX,2025-04-29
0.02,2.99,1,SBUX,2025-01-28
-0.09,-10.11,-1,SBUX,2024-10-30
0.0,0.0,0,SBUX,2024-07-30
-0.12,-15.0,-1,SBUX,2024-04-30
0.0,0.0,0,NKE,2026-03-20
0.16,43.24,1,NKE,2025-12-19
0.22,81.48,1,NKE,2025-09-30
0.02,16.67,1,NKE,2025-06-26
0.26,92.86,1,NKE,2025-03-20
0.15,23.81,1,NKE,2024-12-19
0.18,34.62,1,NKE,2024-10-01
0.16,19.28,1,NKE,2024-06-27
0.0,0.0,0,JNJ,2026-01-21
0.04,1.45,1,JNJ,2025-10-15
0.09,3.36,1,JNJ,2025-07-15
0.19,7.36,1,JNJ,2025-04-15
0.03,1.49,1,JNJ,2025-01-22
0.21,9.5,1,JNJ,2024-10-15
0.12,4.44,1,JNJ,2024-07-17
0.06,2.26,1,JNJ,2024-04-16
0.0,0.0,0,PFE,2026-01-28
0.0,0.0,0,PFE,2025-10-29
0.0,0.0,0,PFE,2025-07-29
0.25,37.31,1,PFE,2025-04-29
0.0,0.0,0,PFE,2025-01-28
0.45,73.77,1,PFE,2024-10-29
0.14,30.43,1,PFE,2024-07-30
0.31,60.78,1,PFE,2024-04-30
0.0,0.0,0,QCOM,2026-01-29
0.0,0.0,0,QCOM,2025-10-30
0.06,2.21,1,QCOM,2025-07-31
0.03,1.06,1,QCOM,2025-04-30
0.0,0.0,0,QCOM,2025-01-29
0.0,0.0,0,QCOM,2024-10-30
0.07,3.1,1,QCOM,2024-07-31
0.0,0.0,0,QCOM,2024-04-24
0.08,4.28,1,AVGO,2025-12-11
0.03,1.81,1,AVGO,2025-09-04
0.01,0.64,1,AVGO,2025-06-05
0.09,5.96,1,AVGO,2025-03-06
0.03,2.16,1,AVGO,2024-12-12
0.03,2.48,1,AVGO,2024-09-05
0.02,1.85,1,AVGO,2024-06-12
0.06,5.77,1,AVGO,2024-03-07
-0.06,-4.65,-1,PYPL,2026-02-04
0.13,10.74,1,PYPL,2025-10-29
0.1,7.69,1,PYPL,2025-07-29
0.17,14.66,1,PYPL,2025-04-29
0.07,6.25,1,PYPL,2025-02-04
0.13,12.15,1,PYPL,2024-10-29
0.2,20.2,1,PYPL,2024-07-30
-0.14,-11.48,-1,PYPL,2024-04-30
0.0,0.0,0,ADBE,2026-03-18
0.17,3.97,1,ADBE,2025-12-11
0.13,2.51,1,ADBE,2025-09-11
0.09,1.81,1,ADBE,2025-06-12
0.11,2.21,1,ADBE,2025-03-12
0.14,3.0,1,ADBE,2024-12-11
0.11,2.42,1,ADBE,2024-09-12
0.08,1.82,1,ADBE,2024-06-13
-0.03,-5.88,-1,SHOP,2026-02-11
0.0,0.0,0,SHOP,2025-11-12
0.06,20.69,1,SHOP,2025-08-06
-0.7,-411.76,-1,SHOP,2025-05-07
0.01,2.33,1,SHOP,2025-02-11
0.46,255.56,1,SHOP,2024-11-12
0.06,30.0,1,SHOP,2024-08-07
0.03,17.65,1,SHOP,2024-05-08
-0.64,-82.05,-1,UBER,2026-02-05
2.42,350.72,1,UBER,2025-11-06
0.01,1.61,1,UBER,2025-08-06
0.12,17.39,1,UBER,2025-05-07
2.73,568.75,1,UBER,2025-02-05
0.0,0.0,0,UBER,2024-11-06
0.15,46.87,1,UBER,2024-08-06
-0.21,-53.85,-1,UBER,2024-05-08
-0.1,-15.15,-1,ABNB,2026-02-12
-0.11,-4.74,-1,ABNB,2025-11-06
0.09,9.57,1,ABNB,2025-08-06
0.0,0.0,0,ABNB,2025-05-07
0.15,25.86,1,ABNB,2025-02-13
-0.02,-0.93,-1,ABNB,2024-11-07
-0.09,-9.47,-1,ABNB,2024-08-06
0.18,78.26,1,ABNB,2024-05-08
