ticker,earnings_date,direction,pct_change,abs_change,magnitude,sector,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,guidance_raised_count,guidance_lowered_count,confidence_score,uncertainty_score,guidance_direction,text_length,avg_sentence_sentiment,sentiment_volatility,positive_sentence_ratio,negative_sentence_ratio,forward_looking_ratio,tb_polarity,tb_subjectivity,word_count,unique_positive_signals,unique_negative_signals,momentum_5d,momentum_10d,volatility,volume_surge,rsi,price_slope,dist_52w_high,avg_volume
AAPL,2026-01-29,UP,0.4646,0.4646,SMALL,Tech,0.724,0.0663,0.2097,0.724,0,0,0,0,0.0,3108,0.0159,0.0503,0.0909,0.0,0.0214,0.0636,0.1818,187,0,0,3.2575,-1.4942,1.3312,0.9866,44.46,-0.6234,-10.3952,49632233.0
AAPL,2025-10-31,DOWN,-0.4882,0.4882,SMALL,Tech,0.8482,0.0999,0.0519,0.8482,0,0,0,0,0.0,3368,-0.0065,0.0818,0.0833,0.1667,0.0181,-0.0293,0.3867,221,0,0,3.2646,10.6536,1.3071,1.13,46.8,1.9822,0.0,47935773.0
AAPL,2025-08-01,UP,0.4793,0.4793,SMALL,Tech,0.0959,0.056,0.8481,0.8481,1,0,0,0,1.0,2548,0.0042,0.011,0.0,0.0,0.0157,0.0222,0.0889,127,1,0,-2.9502,-1.7001,0.6764,1.2474,38.89,0.0791,-19.67,47465213.0
AAPL,2025-05-01,DOWN,-3.7362,3.7362,MEDIUM,Tech,0.8032,0.0511,0.1457,0.8032,0,0,0,0,0.0,2500,0.0438,0.1081,0.2222,0.0,0.0171,0.1091,0.3758,117,0,0,1.9821,6.8645,2.3691,0.6241,40.29,1.2424,-17.8698,68289620.0
AAPL,2025-01-30,DOWN,-0.6692,0.6692,SMALL,Tech,0.5895,0.1941,0.2164,0.5895,0,0,0,0,0.0,2650,0.0063,0.0165,0.0,0.0,0.0129,0.0286,0.1143,155,0,0,7.0196,-1.1767,2.1071,1.197,48.05,-0.6769,-7.5901,60168527.0
AAPL,2024-11-01,DOWN,-0.4038,0.4038,SMALL,Tech,0.1682,0.6833,0.1485,0.6833,0,0,0,0,0.0,2758,0.0012,0.1284,0.2,0.1,0.0,0.0644,0.2971,147,0,0,-2.3767,-0.7207,1.1308,1.1653,40.46,-0.1061,-4.4697,42009693.0
AAPL,2024-08-01,UP,0.6869,0.6869,SMALL,Tech,0.1853,0.0397,0.775,0.775,0,0,0,0,0.0,2653,0.0,0.0,0.0,0.0,0.0183,0.0,0.0,109,0,0,2.1104,-2.4124,1.36,0.8343,28.42,-1.0698,-5.4254,51138587.0
AAPL,2024-05-02,UP,5.9816,5.9816,LARGE,Tech,0.0076,0.9625,0.0299,0.9625,0,0,0,0,0.0,2471,-0.0382,0.1047,0.0,0.1176,0.016,-0.1625,0.25,125,0,0,-0.3473,-3.2793,1.2947,0.9941,46.86,-0.2203,-14.4334,61863180.0
MSFT,2026-01-29,DOWN,-0.7405,0.7405,SMALL,Tech,0.0831,0.7264,0.1904,0.7264,0,0,0,0,0.0,2956,0.022,0.1672,0.12,0.08,0.012,0.2117,0.4517,167,0,0,6.7584,-0.3806,1.5928,1.128,49.45,-0.6387,-10.9836,28185393.0
MSFT,2025-10-30,DOWN,-1.5121,1.5121,SMALL,Tech,0.0827,0.0509,0.8664,0.8664,0,0,0,0,0.0,2511,0.0598,0.1162,0.2353,0.0,0.0174,0.1636,0.1636,115,0,0,4.0322,3.6658,0.9176,1.4863,56.39,1.7483,-0.0959,19005520.0
