ticker,earnings_date,price_before,price_after,pct_change,abs_change,direction,magnitude,sector
AAPL,2026-01-29,258.04,259.24,0.4646,0.4646,UP,SMALL,Tech
AAPL,2025-10-31,269.86,268.54,-0.4882,0.4882,DOWN,SMALL,Tech
AAPL,2025-08-01,201.77,202.73,0.4793,0.4793,UP,SMALL,Tech
AAPL,2025-05-01,212.39,204.46,-3.7362,3.7362,DOWN,MEDIUM,Tech
AAPL,2025-01-30,236.3,234.72,-0.6692,0.6692,DOWN,SMALL,Tech
AAPL,2024-11-01,221.46,220.56,-0.4038,0.4038,DOWN,SMALL,Tech
AAPL,2024-08-01,216.68,218.17,0.6869,0.6869,UP,SMALL,Tech
AAPL,2024-05-02,171.47,181.73,5.9816,5.9816,UP,LARGE,Tech
MSFT,2026-01-29,432.51,429.31,-0.7405,0.7405,DOWN,SMALL,Tech
MSFT,2025-10-30,523.58,515.67,-1.5121,1.5121,DOWN,SMALL,Tech
MSFT,2025-07-30,510.28,530.42,3.9475,3.9475,UP,MEDIUM,Tech
MSFT,2025-04-30,392.26,422.17,7.6254,7.6254,UP,LARGE,Tech
MSFT,2025-01-29,438.09,411.01,-6.1809,6.1809,DOWN,LARGE,Tech
MSFT,2024-10-30,427.53,401.65,-6.0527,6.0527,DOWN,LARGE,Tech
MSFT,2024-07-30,417.28,412.77,-1.0806,1.0806,DOWN,SMALL,Tech
MSFT,2024-04-25,393.01,400.18,1.8244,1.8244,UP,SMALL,Tech
GOOGL,2026-02-04,332.81,331.02,-0.5375,0.5375,DOWN,SMALL,Tech
GOOGL,2025-10-29,274.2,281.1,2.5167,2.5167,UP,MEDIUM,Tech
GOOGL,2025-07-29,195.31,196.09,0.3985,0.3985,UP,SMALL,Tech
GOOGL,2025-04-29,159.61,158.25,-0.8492,0.8492,DOWN,SMALL,Tech
GOOGL,2025-02-04,205.43,190.45,-7.2924,7.2924,DOWN,LARGE,Tech
GOOGL,2024-10-29,168.71,173.46,2.8171,2.8171,UP,MEDIUM,Tech
GOOGL,2024-07-23,180.51,171.41,-5.0388,5.0388,DOWN,LARGE,Tech
GOOGL,2024-04-25,154.72,170.54,10.2244,10.2244,UP,LARGE,Tech
AMZN,2026-02-05,222.69,210.32,-5.5548,5.5548,DOWN,LARGE,Tech
AMZN,2025-10-31,244.22,254.0,4.0046,4.0046,UP,MEDIUM,Tech
AMZN,2025-08-01,214.75,211.65,-1.4435,1.4435,DOWN,SMALL,Tech
AMZN,2025-05-01,190.2,189.98,-0.1157,0.1157,DOWN,SMALL,Tech
AMZN,2025-02-06,238.83,229.15,-4.0531,4.0531,DOWN,MEDIUM,Tech
AMZN,2024-10-31,186.4,197.93,6.1856,6.1856,UP,LARGE,Tech
AMZN,2024-08-01,184.07,167.9,-8.7847,8.7847,DOWN,LARGE,Tech
AMZN,2024-05-02,184.72,186.21,0.8066,0.8066,UP,SMALL,Tech
META,2026-01-29,737.68,715.89,-2.954,2.954,DOWN,MEDIUM,Tech
META,2025-10-29,750.41,665.36,-11.3348,11.3348,DOWN,LARGE,Tech
META,2025-07-30,693.58,771.63,11.2527,11.2527,UP,LARGE,Tech
META,2025-04-30,547.29,570.43,4.2277,4.2277,UP,MEDIUM,Tech
META,2025-01-29,673.79,684.25,1.5536,1.5536,UP,SMALL,Tech
META,2024-10-30,588.96,564.86,-4.0926,4.0926,DOWN,MEDIUM,Tech
META,2024-07-31,472.1,494.88,4.8249,4.8249,UP,MEDIUM,Tech
META,2024-04-24,490.18,438.41,-10.5613,10.5613,DOWN,LARGE,Tech
